Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
46,11682,20 pt,"R$ 199,90",null,null
46,16872,11 pt,"R$ 112,90",null,null
46,76423,08 pt,"R$ 83,90",null,null
46,11681,26 pt,"R$ 259,90",null,null
46,103349,20 pt,"R$ 199,90",null,null
46,107121,30 pt,"R$ 299,90",null,null
47,76421,26 pt,"R$ 199,90",null,"R$ 23,00"
47,16870,20 pt,"R$ 83,901.",null,"R$ 95,00"
47,98941,11 pt,"R$ 112,90",null,null
49,102038,17 pt,"R$ 169,90",null,"R$ 53,00"
49,102039,08 pt,"R$ 53,00",null,"R$ 25,00"
49,102420,5 pt,"R$ 80,90",null,R$ 17
49,102465,08 pt,"R$ 25,00",null,null
50,115463,17 pt,"R$ 169,90",null,null
50,115658,08 pt,"R$ 80,90",null,null
50,115659,05 pt,"R$ 56,90",null,null
50,97169,17 pt,"R$ 169,90",null,null
50,97170,08 pt,"R$ 80,90",null,null
50,97153,05 pt,"R$ 56,90",null,null
50,97168,08 pt,"R$ 80,90",null,null
50,44452,05 pt,"R$ 56,90",null,null
50,56417,17 pt,"R$ 169,90",null,null
50,97171,17 pt,"R$ 169,90",null,null
50,97172,08 pt,"R$ 80,90",null,null
50,128615,05 pt,"R$ 56,90",null,null
50,129620,17 pt,"R$ 169,90",null,null
50,129617,08 pt,"R$ 80,90",null,null
50,83008,05 pt,"R$ 56,90",null,null
51,54522,17 pt,"R$ 173,90",null,null
51,122470,19 pt,"R$ 194,90",null,null
51,102419,11 pt,"R$ 112,90",null,null
51,83314,08 pt,"R$ 83,90",null,null
51,86935,19 pt,"R$ 194,90",null,null
51,97173,null,null,null,null
51,97174,null,null,null,null
51,122474,null,null,null,null
52,140595,11 pt,"R$ 112,90",null,null
54,108408,17 pt,"R$ 172,90",null,null
54,108409,17 pt,"R$ 172,90",null,null
54,125947,17 pt,"R$ 172,90",null,null
55,108407,17 pt,"R$ 172,90",null,"R$ 63,00"
55,108874,04 pt,"R$ 63,00",null,null
55,108878,05 pt,"R$ 45,90",null,null
55,111305,04 pt,"R$ 54,90",null,null
55,108410,17 pt,"R$ 43,90",null,null
56,95646,10 pt,"R$ 99,90",null,"R$ 30,00"
56,95638,10 pt,"R$ 30,00",null,null
56,95642,01 pt,"R$ 99,90",null,null
56,95644,null,"R$ 12,90",null,null
56,95643,null,null,null,null
57,71602,18 pt,"R$ 185,90",null,"R$ 56,001."
57,71600,18 pt,"R$ 185,90",null,null
57,119239,14 pt,"R$ 56,001.",null,null
57,41795,null,"R$ 142,90",null,null
57,68944,null,null,null,null
57,68943,null,null,null,null
58,73562,11 pt,"R$ 113,90",null,"R$ 34,40"
58,73567,11 pt,"R$ 34,40",null,null
58,73563,09 pt,"R$ 113,90",null,null
58,73568,null,"R$ 91,90",null,null
58,73564,null,null,null,null
58,73569,null,null,null,null
58,73565,null,null,null,null
58,73570,null,null,null,null
58,140428,null,null,null,null
59,109160,07 pt,R$ 77,null,"R$ 23,40"
59,72221,07 pt,R$ 77,null,null
59,72195,null,"R$ 23,40",null,null
59,88075,null,null,null,null
59,100679,null,null,null,null
59,95841,null,null,null,null
63,122116,05 pt,"R$ 56,90",null,"R$ 15,0010"
63,92536,05 pt,"R$ 15,0010",null,null
63,110197,15 pt,R$ 57,null,null
64,122122,05 pt,"R$ 56,90",null,"R$ 15,00"
64,122120,15 pt,"R$ 15,00",null,null
64,122123,null,"R$ 154,90",null,null
64,122117,null,null,null,null
64,122114,null,null,null,null
64,122112,null,null,null,null
