Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
111,121961,07 pt,"R$ 51,90",null,null
111,121966,05 pt,"R$ 32,90",null,null
111,125798,null,"R$ 13,40",null,null
112,83641,04 pt,"R$ 45,00",null,null
112,83638,04 pt,"R$ 45,00",null,null
112,113412,04 pt,"R$ 45,00",null,null
112,140759,04 pt,"R$ 45,00",null,null
112,110281,05 pt,"R$ 53,90",null,null
112,100535,03 pt,"R$ 31,40",null,null
112,121969,04 pt,"R$ 45,00",null,null
112,109163,03 pt,"R$ 32,90",null,null
112,113403,04 pt,"R$ 45,00",null,null
112,113404,null,null,null,null
112,86013,null,null,null,null
112,86329,null,null,null,null
112,86180,null,null,null,null
112,86356,null,null,null,null
112,87512,null,null,null,null
112,72147,null,null,null,null
113,114464,03 pt,R$ 37,null,null
113,95840,03 pt,"R$ 31,40",null,null
114,134432,02 pt,"R$ 23,90",null,"R$ 20,00"
114,140927,05 pt,"R$ 55,90",null,null
115,140922,04 pt,"R$ 48,90",null,"R$ 15,00"
115,140423,08 pt,"R$ 15,00",null,"R$ 36,00"
115,134427,08 pt,"R$ 84,90",null,null
116,73214,07 pt,"R$ 75,90",null,null
116,122484,05 pt,"R$ 55,90",null,null
116,97427,08 pt,"R$ 88,90",null,null
116,97433,07 pt,"R$ 69,90",null,null
116,73212,08 pt,"R$ 84,90",null,null
116,73211,06 pt,"R$ 64,90",null,null
116,70406,04 pt,"R$ 48,90",null,null
116,70393,03 pt,"R$ 35,90",null,null
116,70402,06 pt,"R$ 59,90",null,null
116,70389,04 pt,"R$ 43,90",null,null
116,69819,05 pt,"R$ 55,90",null,null
116,69821,03 pt,R$ 37,null,null
116,69823,05 pt,"R$ 55,90",null,null
116,69824,08 pt,"R$ 84,90",null,null
116,69822,06 pt,"R$ 64,90",null,null
116,73562,11 pt,"R$ 113,90",null,null
116,73567,09 pt,"R$ 91,90",null,null
116,69825,08 pt,"R$ 86,90",null,null
117,108626,06 pt,"R$ 61,90",null,"R$ 25,00"
117,108620,null,"R$ 25,00",null,null
117,108625,null,null,null,null
117,108621,null,null,null,null
118,73176,08 pt,"R$ 84,90",null,null
118,73179,06 pt,"R$ 64,90",null,null
118,97425,08 pt,"R$ 88,90",null,null
118,97431,07 pt,"R$ 69,90",null,null
118,70401,06 pt,"R$ 59,90",null,null
118,70388,04 pt,"R$ 43,90",null,null
118,73172,05 pt,"R$ 55,90",null,null
118,73564,11 pt,"R$ 113,90",null,null
118,73569,09 pt,"R$ 91,90",null,null
119,70392,03 pt,"R$ 35,90",null,"R$ 15,00"
119,70405,04 pt,"R$ 48,90",null,null
120,70359,08 pt,"R$ 84,90",null,null
120,70360,06 pt,"R$ 64,90",null,null
120,27238,08 pt,"R$ 86,90",null,null
120,98767,04 pt,"R$ 48,90",null,null
120,19949,03 pt,"R$ 35,90",null,null
120,75522,08 pt,"R$ 88,90",null,null
120,75505,07 pt,"R$ 69,90",null,null
120,110643,08 pt,"R$ 88,90",null,null
120,110644,07 pt,"R$ 69,90",null,null
120,97260,05 pt,"R$ 55,90",null,null
120,97261,04 pt,"R$ 48,90",null,null
120,103839,03 pt,"R$ 35,90",null,null
120,97258,08 pt,"R$ 84,90",null,null
120,97259,06 pt,"R$ 64,90",null,null
120,108623,06 pt,"R$ 61,90",null,null
120,73565,11 pt,"R$ 113,90",null,null
120,73570,09 pt,"R$ 91,90",null,null
120,70358,05 pt,"R$ 55,90",null,null
121,134574,03 pt,"R$ 39,50",null,null
121,129797,03 pt,"R$ 39,50",null,null
121,124393,03 pt,"R$ 39,50",null,null
121,129799,03 pt,"R$ 39,50",null,null
121,134575,03 pt,"R$ 39,50",null,null
122,151034,03 pt,"R$ 32,90",null,null
122,150341,03 pt,"R$ 34,90",null,null
122,112765,05 pt,"R$ 53,90",null,null
122,112767,05 pt,"R$ 56,90",null,null
122,112763,07 pt,"R$ 69,90",null,null
122,112764,07 pt,R$ 77,null,null
122,112890,07 pt,"R$ 69,90",null,null
122,112758,07 pt,R$ 77,null,null
122,112757,05 pt,"R$ 56,90",null,null
122,113149,05 pt,"R$ 56,90",null,null
122,122544,08 pt,"R$ 84,90",null,null
122,112761,05 pt,"R$ 56,90",null,null
122,112762,04 pt,"R$ 43,50",null,null
122,112759,05 pt,"R$ 53,90",null,null
122,112760,04 pt,"R$ 40,50",null,null
123,112766,04 pt,"R$ 40,50",null,null
123,112768,04 pt,"R$ 43,50",null,null
124,58811,02 pt,"R$ 25,90",null,null
124,51873,03 pt,"R$ 31,90",null,null
124,51874,02 pt,"R$ 25,90",null,null
124,58808,02 pt,R$ 27,null,null
124,51875,03 pt,"R$ 33,90",null,null
124,51876,02 pt,R$ 27,null,null
124,51881,05 pt,"R$ 50,90",null,null
124,51877,04 pt,"R$ 40,90",null,null
124,51878,03 pt,R$ 37,null,null
124,37703,03 pt,"R$ 31,90",null,null
124,37702,02 pt,"R$ 25,90",null,null
124,37701,03 pt,R$ 27,null,null
124,37700,02 pt,"R$ 33,90",null,null
124,37698,04 pt,"R$ 50,90",null,null
124,37699,05 pt,"R$ 40,90",null,null
124,60001,03 pt,"R$ 33,90",null,null
124,48099,03 pt,"R$ 31,90",null,null
124,48100,02 pt,"R$ 25,90",null,null
124,48098,03 pt,"R$ 33,90",null,null
124,48097,02 pt,R$ 27,null,null
124,60000,03 pt,"R$ 31,90",null,null
125,38854,10 pt,"R$ 123,80.",null,"R$ 32,00"
125,39015,09 pt,"R$ 105,90",null,"R$ 44,00"
125,19081,10 pt,"R$ 89,90",null,null
125,18624,09 pt,"R$ 105,90",null,null
125,20214,null,"R$ 32,00",null,null
125,25543,null,"R$ 89,90",null,null
125,80940,null,"R$ 44,00",null,null
125,28724,null,null,null,null
125,38856,null,null,null,null
126,88455,03 pt,R$ 47,null,"R$ 10,80"
126,88431,03 pt,"R$ 35,90",null,"R$ 10,80"
126,88453,04 pt,"R$ 35,90",null,null
126,102728,03 pt,"R$ 10,80",null,null
126,102729,null,"R$ 35,90",null,null
126,56754,null,"R$ 10,80",null,null
126,56763,null,null,null,null
126,69200,null,null,null,null
126,89259,null,null,null,null
126,88454,null,null,null,null
126,16623,null,null,null,null
126,16626,null,null,null,null
126,110686,null,null,null,null
126,57412,null,null,null,null
126,56747,null,null,null,null
126,56948,null,null,null,null
126,85393,null,null,null,null
126,85390,null,null,null,null
127,56744,04 pt,"R$ 83,80",null,"R$ 35,90"
127,56766,03 pt,"R$ 35,90",null,null
127,123156,null,"R$ 35,90",null,null
127,123157,null,null,null,null
127,56743,null,null,null,null
127,56764,null,null,null,null
127,75195,null,null,null,null
127,75196,null,null,null,null
128,97373,02 pt,"R$ 79,60.3",null,null
128,109839,02 pt,R$ 27,null,null
128,73841,null,R$ 27,null,null
128,125364,null,null,null,null
128,72860,null,null,null,null
128,124214,null,null,null,null
128,109840,null,null,null,null
128,102730,null,null,null,null
128,72953,null,null,null,null
128,69651,null,null,null,null
128,124219,null,null,null,null
128,97374,null,null,null,null
128,69654,null,null,null,null
128,69653,null,null,null,null
128,69655,null,null,null,null
128,123118,null,null,null,null
128,152271,null,null,null,null
129,123128,02 pt,R$ 27,null,null
129,123122,02 pt,"R$ 29,10",null,null
129,123120,02 pt,"R$ 65,40.1",null,null
129,123133,null,"R$ 29,10",null,null
129,123129,null,null,null,null
129,123119,null,null,null,null
129,123124,null,null,null,null
129,123126,null,null,null,null
129,123131,null,null,null,null
129,123127,null,null,null,null
129,148001,null,null,null,null
129,96518,null,null,null,null
129,96519,null,null,null,null
129,100530,null,null,null,null
129,96515,null,null,null,null
129,70825,null,null,null,null
130,34089,03 pt,"R$ 33,90",null,"R$ 39,90"
130,27730,02 pt,"R$ 24,90",null,null
130,26384,02 pt,"R$ 26,50",null,null
130,26441,05 pt,"R$ 39,90",null,null
130,28175,04 pt,"R$ 93,80",null,null
131,103136,11 pt,"R$ 116,90",null,"R$ 34,00"
131,103135,11 pt,"R$ 109,90",null,"R$ 34,00"
131,103134,09 pt,"R$ 89,90",null,"R$ 28,001."
131,103138,06 pt,"R$ 98,90",null,null
131,103144,09 pt,"R$ 34,00",null,null
131,103145,09 pt,"R$ 98,90",null,null
132,133589,09 pt,"R$ 98,90",null,null
132,75233,09 pt,"R$ 89,90",null,null
132,92808,08 pt,"R$ 85,90",null,null
132,106415,02 pt,"R$ 29,90",null,null
132,92799,03 pt,"R$ 31,90",null,null
132,106422,04 pt,R$ 47,null,null
132,106423,06 pt,"R$ 59,90",null,null
132,92952,05 pt,"R$ 55,20",null,null
133,92788,09 pt,"R$ 98,90",null,"R$ 39,60"
133,92806,06 pt,"R$ 39,60",null,"R$ 18,00"
133,106416,04 pt,"R$ 59,90",null,"R$ 36,40"
133,106417,03 pt,"R$ 18,00",null,null
134,97955,05 pt,"R$ 49,90",null,null
134,125307,26 pt,"R$ 266,90",null,null
134,126980,48 pt,"R$ 479,90",null,null
134,126979,48 pt,"R$ 479,90",null,null
134,169427,12 pt,"R$ 129,00",null,null
135,92790,04 pt,"R$ 39,90",null,null
135,92791,03 pt,"R$ 31,40",null,null
135,75234,05 pt,"R$ 55,60",null,null
135,92798,03 pt,"R$ 31,90",null,null
135,92793,04 pt,"R$ 39,90",null,null
135,92794,03 pt,"R$ 31,401",null,null
135,92800,04 pt,"R$ 74,70.",null,null
135,92802,03 pt,R$ 47,null,null
135,92804,06 pt,"R$ 36,40",null,null
135,106418,04 pt,"R$ 59,90",null,null
135,92795,04 pt,"R$ 46,10",null,null
135,92786,09 pt,"R$ 43,90",null,null
136,32542,03 pt,"R$ 98,90",null,"R$ 39,60"
136,74777,09 pt,"R$ 39,60",null,null
136,29933,03 pt,"R$ 32,90",null,null
136,29930,04 pt,"R$ 41,90",null,null
136,29968,04 pt,"R$ 40,90",null,null
136,74776,09 pt,"R$ 98,90",null,null
137,27384,04 pt,"R$ 39,90",null,null
137,27381,02 pt,"R$ 26,90",null,null
137,27385,04 pt,"R$ 39,90",null,null
137,27382,02 pt,"R$ 26,90",null,null
137,28411,04 pt,"R$ 39,90",null,null
137,28410,02 pt,"R$ 26,90",null,null
137,29306,04 pt,"R$ 46,90",null,null
137,28409,02 pt,"R$ 23,10",null,null
137,27386,03 pt,"R$ 34,90",null,null
137,27383,02 pt,"R$ 23,10",null,null
137,27387,03 pt,"R$ 34,901",null,null
138,138033,20 pt,"R$ 143,90",null,null
138,138026,07 pt,"R$ 51,90",null,null
138,148610,14 pt,"R$ 99,90",null,null
138,134197,03 pt,"R$ 22,50",null,null
138,131972,01 pt,R$ 7,null,null
138,125932,04 pt,"R$ 34,80",null,null
138,121625,06 pt,"R$ 41,90",null,null
138,140799,05 pt,"R$ 36,90",null,null
138,105059,03 pt,"R$ 26,90",null,null
138,140089,23 pt,"R$ 163,90",null,null
138,125935,05 pt,"R$ 38,90",null,null
138,123017,06 pt,"R$ 46,90",null,null
138,116838,05 pt,"R$ 36,90",null,null
138,123022,05 pt,"R$ 38,90",null,null
138,125931,10 pt,"R$ 71,60",null,null
139,129745,09 pt,"R$ 66,50",null,null
139,138034,02 pt,"R$ 20,40",null,null
139,163518,09 pt,"R$ 30,60",null,null
139,138035,04 pt,"R$ 69,90",null,null
140,134880,11 pt,"R$ 114,90","R$ 114,90",null
140,140924,18 pt,"R$ 121,40.","R$ 185,90",null
140,167968,09 pt,"R$ 131,70",null,null
140,140703,03 pt,"R$ 36,60",null,null
141,150735,16 pt,"R$ 205,30",null,null
141,150830,12 pt,"R$ 173,70",null,null
141,150727,36 pt,"R$ 365,70",null,null
142,96703,01 pt,"R$ 6,00",null,null
142,96701,01 pt,"R$ 5,00",null,null
142,96700,01 pt,"R$ 4,00",null,null
142,96705,01 pt,"R$ 9,00",null,null
142,96704,01 pt,R$ 7,null,null
142,159815,14 pt,"R$ 172,50",null,null
143,96700,01 pt,"R$ 3,00","R$ 201,90",null
143,96701,01 pt,"R$ 3,50","R$ 106,90",null
143,160371,20 pt,"R$ 201,90",null,null
143,160373,10 pt,"R$ 251,80.",null,null
143,161491,14 pt,"R$ 106,90",null,null
144,122122,05 pt,"R$ 88,90",null,"R$ 36,00"
144,134427,08 pt,"R$ 36,00",null,"R$ 11,00"
144,78904,04 pt,"R$ 41,90",null,"R$ 15,00"
144,148410,06 pt,"R$ 11,00",null,"R$ 21,00"
145,92788,09 pt,"R$ 98,90",null,"R$ 39,60"
145,140927,05 pt,"R$ 39,60",null,"R$ 20,00"
145,103138,06 pt,"R$ 55,90",null,"R$ 28,00"
145,74777,09 pt,"R$ 20,00",null,"R$ 39,60"
